species,strain,virus,isolate,infectious.dose,infectious.dose.mid,unit,feeding.method,temp,day.PE,day.PE.mid,num.infected,total.infect,perc.infected,total.infect.exp,num.disseminated,perc.disseminated,total.dissem.exp,total.dissem,num.transmitted,perc.transmitted,total.trans.exp,total.transmitted,trans.method,Infec assay,trans.assay,ref,note
ae_aegypti,Townsville,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14,14,16,60,27,60,10,17,60,60,,NT,NT,,NT,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ae_albopictus,Torres Strait,JEV,Gen 1 (TS00),6.2,6.2,TCID50/mL,pledget,28,14,14,5,25,20,25,4,16,25,25,4,16,25,25,capillary tube,CC-EIA,qRT-PCR,"Nicholson, J.N.; Ritchie, S.A.; van den Hurk, A.F. Aedes albopictus (Diptera: Culicidae) as a potential vector of endemic and exotic arboviruses in Australia. Journal of Medical Entomology 2014, 51, 661-669.",
ae_albopictus,Torres Strait,JEV,Gen 1 (TS00),5.1,5.1,TCID50/mL,pledget,28,14,14,1,25,4,25,,NT,NT,,,NT,NT,,NT,CC-EIA,NT,"Nicholson, J.N.; Ritchie, S.A.; van den Hurk, A.F. Aedes albopictus (Diptera: Culicidae) as a potential vector of endemic and exotic arboviruses in Australia. Journal of Medical Entomology 2014, 51, 661-669.",
ae_albopictus,Torres Strait,JEV,Gen 1 (TS00),4.4,4.4,TCID50/mL,pledget,28,14,14,0,25,0,25,,NT,NT,,,NT,NT,,NT,CC-EIA,NT,"Nicholson, J.N.; Ritchie, S.A.; van den Hurk, A.F. Aedes albopictus (Diptera: Culicidae) as a potential vector of endemic and exotic arboviruses in Australia. Journal of Medical Entomology 2014, 51, 661-669.",
ae_kochi,Bamaga,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14-15,14.5,6,28,21,28,,NT,NT,,0,0,8,8,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ae_kochi,Cairns,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14-15,14.5,1,9,11,9,,NT,NT,,1,13,8,8,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ae_notoscriptus,Brisbane,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,13-14,13.5,13,48,27,48,4,8,48,48,3,27,11,11,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ae_notoscriptus,Cairns,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14-15,14.5,1,5,20,5,0,1,5,5,,NT,NT,,NT,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ae_vigilax,Redlands,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,13,13,5,13,39,13,5,39,13,13,0,0,4,4,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ae_vigilax,Cairns,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14-15,14.5,43,75,57,75,,NT,NT,,3,17,18,18,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
cx_annulirostris,Brisbane,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14,14,36,36,100,36,23,64,36,36,13,81,16,16,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
cx_annulirostris,Cairns,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14-15,14.5,51,55,93,55,,NT,NT,,14,61,23,23,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
cx_annulirostris,Brisbane,JEV,Gen 1 (TS00),6.4,6.4,TCID50/mL,pledget,28,12,12,20,25,80,25,14,56,25,25,3,12,25,25,capillary tube,CC-EIA,qRT-PCR,"Johnson, P.H.; Hall-Mendelin, S.; Whelan, P.I.; Frances, S.P.; Jansen, C.C.; Mackenzie, D.O.; Northill, J.A.; van den Hurk, A.F. Vector competence of Australian Culex gelidus Theobald (Diptera:Culicidae) for endemic and exotic arboviruses. Australian Journal of Entomology 2009, 48, 234-240.",
cx_gelidus,Katherine,JEV,Gen 1 (TS00),6.4,6.4,TCID50/mL,pledget,28,12,12,22,23,96,23,22,96,23,23,22,96,23,23,capillary tube,CC-EIA,qRT-PCR,"Johnson, P.H.; Hall-Mendelin, S.; Whelan, P.I.; Frances, S.P.; Jansen, C.C.; Mackenzie, D.O.; Northill, J.A.; van den Hurk, A.F. Vector competence of Australian Culex gelidus Theobald (Diptera:Culicidae) for endemic and exotic arboviruses. Australian Journal of Entomology 2009, 48, 234-240.",
cx_gelidus,Katherine,JEV,Gen 1 (TS00),6.5,6.5,TCID50/mL,pledget,28,15,15,6,7,86,7,,NT,NT,,6,86,7,7,capillary tube,CC-EIA,qRT-PCR,"van den Hurk, A.F.; Johnson, P.H.; Hall-Mendelin, S.; Northill, J.A.; Simmons, R.J.; Jansen, C.C.; Frances, S.P.; Smith, G.A.; Ritchie, S.A. Expectoration of Flaviviruses during sugar feeding by mosquitoes (Diptera: Culicidae). J Med Entomol 2007, 44, 845-850.",
cx_gelidus,Katherine,JEV,Gen 1 (TS00),6.4,6.4,TCID50/mL,hanging drop,28,15,15,5,20,25,20,,NT,NT,,5,25,20,20,capillary tube,CC-EIA,qRT-PCR,"van den Hurk, A.F.; Johnson, P.H.; Hall-Mendelin, S.; Northill, J.A.; Simmons, R.J.; Jansen, C.C.; Frances, S.P.; Smith, G.A.; Ritchie, S.A. Expectoration of Flaviviruses during sugar feeding by mosquitoes (Diptera: Culicidae). J Med Entomol 2007, 44, 845-850.",
cx_quinquefasciatus,Brisbane,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,17-19,18,50,51,98,51,14,28,51,51,4,50,8,8,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
cx_quinquefasciatus,Mareeba,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14-15,14.5,15,27,56,27,,NT,NT,,0,0,16,16,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
cx_sitiens,Brisbane,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14,14,33,36,92,36,4,11,36,36,10,67,15,15,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ma_septempunctata,Cairns,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14-15,14.5,16,24,67,24,13,54,24,24,,NT,NT,,NT,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ve_funerea,Cairns,JEV,Gen 2 (TS3306),7.1,7.1,TCID50/mL,membrane,28,14-15,14.5,4,36,11,36,,NT,NT,,1,7,15,15,suckling mouse,CC-EIA,symptom.antibodies,"van den Hurk, A.F.; Nisbet, D.J.; Hall, R.A.; Kay, B.H.; Mackenzie, J.S.; Ritchie, S.A. Vector competence of Australian mosquitoes (Diptera: Culicidae) for Japanese encephalitis virus. Journal of Medical Entomology 2003, 40, 82-90.",
ae_aegypti,Cairns,CHIKV,Mauritius,7,7,TCID50/mL,membrane,28,14,14,,,NT,NT,,NT,NT,,14,52,27,27,capillary tube,CC-EIA,qRT-PCR,"Hall-Mendelin, S.; Ritchie, S.A.; Johansen, C.A.; Zborowski, P.; Cortis, G.; Dandridge, S.; Hall, R.A.; van den Hurk, A.F. Exploiting mosquito sugar feeding to detect mosquito-borne pathogens. Proc Natl Acad Sci U S A 2010, 107, 11255-11259.",
ae_aegypti,Cairns,CHIKV,Mauritius,6.7,6.7,TCID50/mL,membrane,28,14-15,14.5,23,25,92,25,23,92,25,25,16,64,25,25,capillary tube,CC-EIA,qRT-PCR,"van den Hurk, A.F.; Hall-Mendelin, S.; Pyke, A.T.; Smith, G.A.; Mackenzie, J.S. Vector competence of Australian mosquitoes for chikungunya virus. Vector-borne and Zoonotic Diseases 2010, 10, 489-495.",
